Name,Type,Default,Choices,Description,Config
model_tag,str,None,,The model tag to serve (optional if specified in<br>config),Positional Arguments
aggregate-engine-logging,Boolean flag,False,,Log aggregate rather than per-engine statistics when<br>using data parallelism.,Global Options
api-server-count,int,None,,How many API server processes to run. Defaults to<br>data_parallel_size if not specified.,Global Options
config,str (file path),None,,Read CLI options from a config file. Must be a YAML<br>with the following options: https://docs.vllm.ai/en/la<br>test/configuration/serve_args.html,Global Options
disable-log-stats,Boolean flag,False,,Disable logging statistics.,Global Options
enable-log-requests,Boolean flag,False,,"Enable logging request information, dependent on log<br>level:<br>- INFO: Request ID, parameters and LoRA request.<br>- DEBUG: Prompt inputs (e.g: text, token IDs). You can<br>set the minimum log level via `VLLM_LOGGING_LEVEL`.",Global Options
no-enable-log-requests,Boolean flag,False,,"Enable logging request information, dependent on log<br>level:<br>- INFO: Request ID, parameters and LoRA request.<br>- DEBUG: Prompt inputs (e.g: text, token IDs). You can<br>set the minimum log level via `VLLM_LOGGING_LEVEL`.",Global Options
fail-on-environ-validation,Boolean flag,False,,"If set, the engine will raise an error if environment<br>validation fails.",Global Options
no-fail-on-environ-validation,Boolean flag,False,,"If set, the engine will raise an error if environment<br>validation fails.",Global Options
gdn-prefill-backend,Enum,None,"flashinfer,triton,cutedsl",Select GDN prefill backend.,Global Options
grpc,Boolean flag,False,,Launch a gRPC server instead of the HTTP OpenAI-<br>compatible server. Requires: pip install vllm[grpc].,Global Options
headless,Boolean flag,False,,Run in headless mode. See multi-node data parallel<br>documentation for more details.,Global Options
shutdown-timeout,int,0,,"Shutdown timeout in seconds. 0 = abort, >0 = wait.",Global Options
"h, --help",Boolean flag,None,,show this help message and exit,Global Options
allow-credentials,Boolean flag,False,,Allow credentials.,Frontend
no-allow-credentials,Boolean flag,False,,Allow credentials.,Frontend
allowed-headers,list[str],['*'],,Allowed headers.,Frontend
allowed-methods,list[str],['*'],,Allowed methods.,Frontend
allowed-origins,list[str],['*'],,Allowed origins.,Frontend
api-key,List,None,,"If provided, the server will require one of these keys<br>to be presented in the header.",Frontend
chat-template,str,None,,N/A,Frontend
chat-template-content-format,Enum,None,"auto,openai,string",N/A,Frontend
data-parallel-supervisor-port,int,9256,,HTTP port for aggregated health endpoints in multi-<br>port external LB mode.,Frontend
default-chat-template-kwargs,dict,None,,Should either be a valid JSON string or JSON keys<br>passed individually.,Frontend
disable-access-log-for-endpoints,str,None,,"Comma-separated list of endpoint paths to exclude from<br>uvicorn access logs. This is useful to reduce log<br>noise from high-frequency endpoints like health<br>checks. Example: ""/health,/metrics,/ping"". When set,<br>access logs for requests to these paths will be<br>suppressed while keeping logs for other endpoints.",Frontend
disable-fastapi-docs,Boolean flag,False,,"Disable FastAPI's OpenAPI schema, Swagger UI, and<br>ReDoc endpoint.",Frontend
no-disable-fastapi-docs,Boolean flag,False,,"Disable FastAPI's OpenAPI schema, Swagger UI, and<br>ReDoc endpoint.",Frontend
disable-uvicorn-access-log,Boolean flag,False,,Disable uvicorn access log.,Frontend
no-disable-uvicorn-access-log,Boolean flag,False,,Disable uvicorn access log.,Frontend
dp-supervisor-probe-failure-threshold,int,3,,Number of consecutive connection-error retries before<br>a child health probe is declared failed in multi-port<br>external LB mode.,Frontend
dp-supervisor-probe-interval-s,float,5.0,,Seconds between aggregated health probes in multi-port<br>external LB mode.,Frontend
dp-supervisor-probe-timeout-s,float,5.0,,Seconds to wait between retries when a child health<br>probe fails with a connection error in multi-port<br>external LB mode.,Frontend
enable-auto-tool-choice,Boolean flag,None,,N/A,Frontend
no-enable-auto-tool-choice,Boolean flag,None,,N/A,Frontend
enable-flash-late-interaction,Boolean flag,True,,"If set, run pooling score MaxSim on GPU in the API<br>server process. Can significantly improve late-<br>interaction scoring performance.",Frontend
no-enable-flash-late-interaction,Boolean flag,True,,"If set, run pooling score MaxSim on GPU in the API<br>server process. Can significantly improve late-<br>interaction scoring performance.",Frontend
enable-force-include-usage,Boolean flag,None,,N/A,Frontend
no-enable-force-include-usage,Boolean flag,None,,N/A,Frontend
enable-log-deltas,Boolean flag,None,,N/A,Frontend
no-enable-log-deltas,Boolean flag,None,,N/A,Frontend
enable-log-outputs,Boolean flag,None,,N/A,Frontend
no-enable-log-outputs,Boolean flag,None,,N/A,Frontend
enable-offline-docs,Boolean flag,False,,Enable offline FastAPI documentation for air-gapped<br>environments. Uses vendored static assets bundled with<br>vLLM.,Frontend
no-enable-offline-docs,Boolean flag,False,,Enable offline FastAPI documentation for air-gapped<br>environments. Uses vendored static assets bundled with<br>vLLM.,Frontend
enable-prompt-tokens-details,Boolean flag,None,,N/A,Frontend
no-enable-prompt-tokens-details,Boolean flag,None,,N/A,Frontend
enable-request-id-headers,Boolean flag,False,,"If specified, API server will add X-Request-Id header<br>to responses.",Frontend
no-enable-request-id-headers,Boolean flag,False,,"If specified, API server will add X-Request-Id header<br>to responses.",Frontend
enable-server-load-tracking,Boolean flag,None,,N/A,Frontend
no-enable-server-load-tracking,Boolean flag,None,,N/A,Frontend
enable-ssl-refresh,Boolean flag,False,,Refresh SSL Context when SSL certificate files change,Frontend
no-enable-ssl-refresh,Boolean flag,False,,Refresh SSL Context when SSL certificate files change,Frontend
enable-tokenizer-info-endpoint,Boolean flag,None,,N/A,Frontend
no-enable-tokenizer-info-endpoint,Boolean flag,None,,N/A,Frontend
exclude-tools-when-tool-choice-none,Boolean flag,None,,N/A,Frontend
no-exclude-tools-when-tool-choice-none,Boolean flag,None,,N/A,Frontend
fingerprint-mode,Enum,None,"custom,full,hash,none",N/A,Frontend
fingerprint-value,str,None,,N/A,Frontend
h11-max-header-count,int,256,,Maximum number of HTTP headers allowed in a request<br>for h11 parser. Helps mitigate header abuse. Default:<br>256.,Frontend
h11-max-incomplete-event-size,int,4194304,,Maximum size (bytes) of an incomplete HTTP event<br>(header or body) for h11 parser. Helps mitigate header<br>abuse. Default: 4194304 (4 MB).,Frontend
host,str,None,,Host name.,Frontend
log-config-file,str (file path),None,,N/A,Frontend
log-error-stack,Boolean flag,None,,N/A,Frontend
no-log-error-stack,Boolean flag,None,,N/A,Frontend
lora-modules,List,None,,N/A,Frontend
max-log-len,int,None,,N/A,Frontend
middleware,str,[],,"Additional ASGI middleware to apply to the app. We<br>accept multiple<br>--middleware arguments. The value should be an import<br>path. If a function is provided, vLLM will add it to<br>the server using `@app.middleware('http')`. If a class<br>is provided, vLLM will add it to the server using<br>`app.add_middleware()`.",Frontend
port,int,8000,,Port number.,Frontend
response-role,str,None,,N/A,Frontend
return-tokens-as-token-ids,Boolean flag,None,,N/A,Frontend
no-return-tokens-as-token-ids,Boolean flag,None,,N/A,Frontend
root-path,str,None,,FastAPI root_path when app is behind a path based<br>routing proxy.,Frontend
ssl-ca-certs,str (file path),None,,The CA certificates file.,Frontend
ssl-cert-reqs,int,0,,Whether client certificate is required (see stdlib ssl<br>module's).,Frontend
ssl-certfile,str (file path),None,,The file path to the SSL cert file.,Frontend
ssl-ciphers,str,None,,SSL cipher suites for HTTPS (TLS 1.2 and below only).<br>Example: 'ECDHE-RSA-AES256-GCM-SHA384:ECDHE-RSA-<br>CHACHA20-POLY1305',Frontend
ssl-keyfile,str (file path),None,,The file path to the SSL key file.,Frontend
tokens-only,Boolean flag,None,,N/A,Frontend
no-tokens-only,Boolean flag,None,,N/A,Frontend
tool-call-parser or name registered in --tool-parser-plugin,Enum,None,"apertus,cohere_command3,cohere_command4,deepseek_v3,deepseek_v31,deepseek_v32,deepseek_v4,ernie45,functiongemma,gemma4,gigachat3,glm45,glm47,granite,granite-20b-fc,granite4,hermes,hunyuan_a13b,hy_v3,internlm,jamba,kimi_k2,lfm2,llama3_json,llama4_json,llama4_pythonic,longcat,mimo,minicpm5,minimax,minimax_m2,mistral,olmo3,openai,phi4_mini_json,poolside_v1,pythonic,qwen3_coder,qwen3_xml,seed_oss,step3,step3p5,xlam",N/A,Frontend
tool-parser-plugin,str,None,,N/A,Frontend
tool-server,str,None,,N/A,Frontend
trust-request-chat-template,Boolean flag,None,,N/A,Frontend
no-trust-request-chat-template,Boolean flag,None,,N/A,Frontend
uds,str (socket path),None,,"Unix domain socket path. If set, host and port<br>arguments are ignored.",Frontend
uvicorn-log-level,Enum,info,"critical,debug,error,info,trace,warning",Log level for uvicorn.,Frontend
allow-deprecated-quantization,Boolean flag,False,,Whether to allow deprecated quantization methods.,ModelConfig
no-allow-deprecated-quantization,Boolean flag,False,,Whether to allow deprecated quantization methods.,ModelConfig
allowed-local-media-path,str,(empty string),,Allowing API requests to read local images or videos<br>from directories specified by the server file system.<br>This is a security risk. Should only be enabled in<br>trusted environments.,ModelConfig
